,policyID
826,205704
827,346837
828,371665
829,574882
830,110888
831,375055
832,482716
833,603519
834,268570
835,820558
836,498729
837,950716
838,128894
839,881492
840,321346
841,581291
842,370644
843,545031
844,201089
845,790967
846,558007
847,125552
848,527643
849,110872
850,893113
851,575211
852,665536
853,273487
854,280674
855,248341
856,113250
857,430658
858,449510
859,814098
860,491496
861,519546
862,399722
863,898714
864,284335
865,328660
866,939217
867,312341
868,851500
869,206063
870,911054
871,990316
872,998798
873,743895
874,183291
875,762494
876,614159
877,313157
878,549388
879,381206
880,903839
881,484007
882,758694
883,718473
884,310500
885,951965
886,686067
887,630246
888,960864
889,368093
890,596039
891,793688
892,655727
893,203305
894,625673
895,484687
896,745529
897,595624
898,901277
899,986412
900,555955
901,817829
902,447682
903,791246
904,828195
905,349231
906,327231
907,157885
908,480677
909,469669
910,162340
911,368883
912,823110
913,805930
914,615055
915,510571
916,599636
917,252174
918,801148
919,793447
920,787827
921,970645
922,829730
923,693967
924,780380
925,816959
926,575231
927,625865
928,132961
929,418645
930,451133
931,688245
932,516626
933,529970
934,884768
935,163481
936,758210
937,249945
938,805642
939,240151
940,144321
941,872373
942,775283
943,138616
944,397202
945,758276
946,217068
947,627387
948,611518
949,474581
950,581062
951,242620
952,599189
953,240859
954,392938
955,868280
956,640979
957,924750
958,753749
959,218910
960,716300
961,592140
962,405514
963,201544
964,952351
965,453419
966,636902
967,836032
968,587845
969,268554
970,218318
971,429098
972,904790
973,341035
974,766044
975,900080
976,736640
977,876566
978,937515
979,123359
980,147295
981,638119
982,686788
983,293065
984,180193
985,772617
986,403715
987,361295
988,927744
989,216775
990,594385
991,197723
992,578894
993,768448
994,481388
995,313664
996,731719
997,308578
998,121709
999,716004
1000,661496
1001,612626
1002,352290
1003,400096
1004,940268
1005,301031
1006,217378
1007,455667
1008,780296
1009,889509
1010,543467
1011,898563
1012,453122
1013,892997
1014,406909
1015,597721
1016,413465
1017,505886
1018,989269
1019,724533
1020,113070
1021,246966
1022,270693
1023,171637
1024,931285
1025,958269
1026,479436
1027,603012
1028,745546
1029,675553
1030,259171
1031,225244
1032,845968
1033,138896
1034,333908
1035,691453
1036,575150
1037,439688
1038,921842
1039,435330
1040,132865
1041,642061
1042,623689
1043,992919
1044,569166
1045,951214
1046,365016
1047,992740
1048,739949
1049,874599
1050,860965
1051,330165
1052,650181
1053,749222
1054,178508
1055,398028
1056,559266
1057,705300
1058,536447
1059,158793
1060,831984
1061,963320
1062,107299
1063,605850
1064,395298
1065,670035
1066,625216
1067,397233
1068,167116
1069,451362
1070,136213
1071,582888
1072,771693
1073,441366
1074,647091
1075,601572
1076,698704
1077,513996
1078,231209
1079,684474
1080,862827
1081,203365
1082,389215
1083,748106
1084,998686
1085,917134
1086,854991
1087,270478
1088,791159
1089,381856
1090,862845
1091,650764
1092,799393
1093,668169
1094,409123
1095,437215
1096,416022
1097,198890
1098,109952
1099,706975
1100,231215
1101,195370
1102,498459
1103,437327
1104,125310
1105,841542
1106,609192
1107,436819
1108,404396
1109,675631
1110,875517
1111,122968
1112,462865
1113,762271
1114,118657
1115,680967
1116,235283
1117,978723
1118,553660
1119,373053
1120,539364
1121,803437
1122,128242
1123,946299
1124,526205
1125,236986
1126,189489
1127,707198
1128,576623
1129,183496
1130,380278
1131,973374
1132,949520
1133,261179
1134,519120
1135,878456
1136,786881
1137,378835
1138,725244
1139,130019
1140,512917
1141,357588
1142,499308
1143,980137
1144,569071
1145,964046
1146,407793
1147,122489
1148,380501
1149,442434
1150,296989
1151,888060
1152,633291
1153,574669
1154,406476
1155,511659
1156,640168
1157,879768
1158,930040
1159,599300
1160,670732
1161,399700
1162,514895
1163,111328
1164,835575
1165,931096
1166,667421
1167,376640
1168,298326
1169,360789
1170,884365
1171,994959
1172,783989
1173,295393
1174,863621
1175,555963
1176,188565
1177,449286
1178,435175
1179,873404
1180,464220
1181,916914
1182,291833
1183,255895
1184,791510
1185,637980
1186,941716
1187,459212
1188,892568
1189,301816
1190,157792
1191,647230
1192,475305
1193,375580
1194,979654
1195,921392
1196,408811
1197,281805
1198,757566
1199,117339
1200,736974
1201,487567
1202,548600
1203,144572
1204,749121
1205,523825
1206,635004
1207,462386
1208,385025
1209,639695
1210,864004
1211,722782
1212,112287
1213,106762
1214,506991
1215,762146
1216,114301
1217,562126
1218,585198
1219,253679
1220,445604
1221,413464
1222,190995
1223,202119
1224,649647
1225,884533
1226,335413
1227,993817
1228,870532
1229,545979
1230,859457
1231,355302
1232,483553
1233,370205
1234,891996
1235,927742
1236,168150
1237,624584
1238,516745
1239,454696
1240,740371
1241,932402
1242,303989
1243,360717
1244,778894
1245,434500
1246,748017
1247,465519
1248,163798
1249,906567
1250,590757
1251,313089
1252,983962
1253,132292
1254,237087
1255,694928
1256,223304
1257,784993
1258,597925
1259,239592
1260,543820
1261,894167
1262,550003
1263,483888
1264,826944
1265,100929
1266,540121
1267,952268
1268,924229
1269,256211
1270,219411
1271,575720
1272,313165
1273,711976
1274,568643
1275,183849
1276,832860
1277,868988
1278,483711
1279,171938
1280,603099
1281,122151
1282,492456
1283,978224
1284,914938
1285,753857
1286,254771
1287,175297
1288,979257
1289,887054
1290,406287
1291,538584
1292,204117
1293,593152
1294,556621
1295,678201
1296,944295
1297,653499
1298,936566
1299,447164
1300,634360
1301,145948
1302,103158
1303,521338
1304,486769
1305,169678
1306,353768
1307,118356
1308,375387
1309,884077
1310,311926
1311,945129
1312,117329
1313,921952
1314,150263
1315,398144
1316,414086
1317,349098
1318,255714
1319,499205
1320,385962
1321,445381
1322,453104
1323,115845
1324,288494
1325,437659
1326,721230
1327,807857
1328,414917
1329,380114
1330,501405
1331,989701
1332,779882
1333,891094
1334,918544
1335,586838
1336,159854
1337,658231
1338,508110
1339,403228
1340,594354
1341,210518
1342,766511
1343,890294
1344,213481
1345,695462
1346,927116
1347,924212
1348,852064
1349,664212
1350,662676
1351,683665
1352,376560
1353,427608
1354,665613
1355,393299
1356,770045
1357,327042
1358,675862
1359,801785
1360,609418
1361,375036
1362,596422
1363,658164
1364,986262
1365,943849
1366,933588
1367,606258
1368,589802
1369,528400
1370,718093
1371,727040
1372,953534
1373,299937
1374,167723
1375,657135
1376,206044
1377,710264
1378,996566
1379,669136
1380,677947
1381,516454
1382,123859
1383,248415
1384,958827
1385,393324
1386,415961
1387,885257
1388,793227
1389,971567
1390,195562
1391,220013
1392,214533
1393,630518
1394,547227
1395,268608
1396,427338
1397,810947
1398,570960
1399,719610
1400,342194
1401,894790
1402,946791
1403,800975
1404,211065
1405,349477
1406,452100
1407,340300
1408,268376
1409,958241
1410,540993
1411,272822
1412,404015
1413,985604
1414,781066
1415,360718
1416,999732
1417,596037
1418,464023
1419,549331
1420,798587
1421,561654
1422,504198
1423,942836
1424,666050
1425,895607
1426,832689
1427,278236
1428,613343
1429,730314
1430,700074
1431,610022
1432,306242
1433,982591
1434,863659
1435,631586
1436,839176
1437,336869
1438,785489
1439,439322
1440,572604
1441,655053
1442,855888
1443,262277
1444,688520
1445,160892
1446,892209
1447,803278
1448,644349
1449,867706
1450,283980
1451,165110
1452,487759
1453,330577
1454,243415
1455,145681
1456,552494
1457,427835
1458,833066
1459,513513
1460,653751
1461,970852
1462,851371
1463,371816
1464,717931
1465,160596
1466,751786
1467,128061
1468,700270
1469,245124
1470,444706
1471,443526
1472,998224
1473,960757
1474,727389
1475,873299
1476,881157
1477,453935
1478,313002
1479,289820
1480,844263
1481,943277
1482,411984
1483,277436
1484,461765
1485,643484
1486,758811
1487,805255
1488,870206
1489,935677
1490,586078
1491,896829
1492,982848
1493,740295
1494,100141
1495,833818
1496,667865
1497,708885
1498,950607
1499,913315
1500,364546
1501,283068
1502,946537
1503,555590
1504,698118
1505,667609
1506,458103
1507,667939
1508,952149
1509,124100
1510,455522
1511,519259
1512,413009
1513,507702
1514,298283
1515,928851
1516,904303
1517,840987
1518,822182
1519,158494
1520,939043
1521,269951
1522,271453
1523,267229
1524,233553
1525,968849
1526,791144
1527,789006
1528,314982
1529,525972
1530,256609
1531,149254
1532,588362
1533,886323
1534,725566
1535,858672
1536,308552
1537,375146
1538,658781
1539,740457
1540,966762
1541,443847
1542,262754
1543,916252
1544,823033
1545,882443
1546,524157
1547,580392
1548,916069
1549,628685
1550,993121
1551,783017
1552,572675
1553,319379
1554,620961
1555,621225
1556,833995
1557,406410
1558,747212
1559,783995
1560,327138
1561,595901
1562,473550
1563,898397
1564,766677
1565,358409
1566,393419
1567,744665
1568,649235
1569,918219
1570,230248
1571,948611
1572,833869
1573,629107
1574,581607
1575,547490
1576,811078
1577,321064
1578,545899
1579,860210
1580,767305
1581,199042
1582,622163
1583,148836
1584,322311
1585,951950
1586,997329
1587,896359
1588,702647
1589,145552
1590,276776
1591,922547
1592,780681
1593,998261
1594,174867
1595,545709
1596,113931
1597,363453
1598,732020
1599,928457
1600,368930
1601,100732
1602,804598
1603,513795
1604,814179
1605,530429
1606,134126
1607,709579
1608,723594
1609,859142
1610,181082
1611,104778
1612,606698
1613,397625
1614,588795
1615,602516
1616,126192
1617,607246
1618,830965
1619,277361
1620,919780
1621,835975
1622,975791
1623,897785
1624,889385
1625,374810
1626,126250
1627,912731
1628,628294
1629,951715
1630,849044
1631,880076
1632,657150
1633,580738
1634,374564
1635,136461
1636,615021
1637,779364
1638,829371
1639,937487
1640,609532
1641,756068
1642,554209
1643,120394
1644,330481
1645,151692
1646,811045
1647,248928
1648,812314
1649,125519
1650,336858
1651,476639
1652,328297
1653,670846
1654,151192
1655,180377
1656,814312
1657,263531
1658,901192
1659,929849
1660,876074
1661,173599
1662,945231
1663,134292
1664,238719
1665,907767
1666,965676
1667,775773
1668,333296
1669,836202
1670,304939
1671,783148
1672,964259
1673,955036
1674,999971
1675,817536
1676,171551
1677,994453
1678,603605
1679,953852
1680,427258
1681,835573
1682,674019
1683,854930
1684,286687
1685,322337
1686,186439
1687,592394
1688,207249
1689,762410
1690,215054
1691,349914
1692,138322
1693,542377
1694,298655
1695,592065
1696,380670
1697,789401
1698,375871
1699,454077
1700,243333
1701,915295
1702,324430
1703,687957
1704,979835
1705,661508
1706,992466
1707,569250
1708,644551
1709,982358
1710,608004
1711,296060
1712,963661
1713,165499
1714,450915
1715,186842
1716,424579
1717,678928
1718,801019
1719,150073
1720,567840
1721,204141
1722,534558
1723,177769
1724,398850
1725,371371
1726,722892
1727,241078
1728,563837
1729,924438
1730,614342
1731,566416
1732,953411
1733,602785
1734,554802
1735,244208
1736,446578
1737,238122
1738,410270
1739,949665
1740,194495
1741,723640
1742,556684
1743,877280
1744,762491
1745,355625
1746,300347
1747,341934
1748,401532
1749,358991
1750,808985
1751,987796
1752,637200
1753,536035
1754,544360
1755,667400
1756,145359
1757,275976
1758,793469
1759,507945
1760,836401
1761,715596
1762,377990
1763,103168
1764,951870
1765,167537
1766,587641
1767,610380
1768,533314
1769,962846
1770,262394
1771,797490
1772,701308
1773,991007
1774,885405
1775,369643
1776,273137
1777,644484
1778,930476
1779,608901
1780,212362
1781,500572
1782,765810
1783,388813
1784,208750
1785,942556
1786,539954
1787,287107
1788,106859
1789,750354
1790,331321
1791,486174
1792,387503
1793,450193
1794,698198
1795,541857
1796,493914
1797,262016
1798,217685
1799,939867
1800,293951
1801,536383
1802,927490
1803,348405
1804,727826
1805,996308
1806,243605
1807,914026
1808,227907
1809,213955
1810,213798
1811,197481
1812,722836
1813,562536
1814,529407
1815,321186
1816,860131
1817,854674
1818,103863
1819,153708
1820,633155
1821,243912
1822,182502
1823,689232
1824,467572
1825,652715
1826,948998
1827,104863
1828,282341
1829,786723
1830,300295
1831,513859
1832,376747
1833,102102
1834,722449
1835,995285
1836,553576
1837,452851
1838,245283
1839,772020
1840,358218
1841,817913
1842,454061
1843,709428
1844,926620
1845,234463
1846,417445
1847,725951
1848,650605
1849,548825
1850,934493
1851,198380
1852,285662
1853,861564
1854,587849
1855,626470
1856,481481
1857,362063
1858,379162
1859,527689
1860,682338
1861,873609
1862,993348
1863,416108
1864,830263
1865,722233
1866,743860
1867,422349
1868,938072
1869,983288
1870,853113
1871,146385
1872,828861
1873,452534
1874,550347
1875,887230
1876,900664
1877,960671
1878,854865
1879,286926
1880,663508
1881,385721
1882,651631
1883,263801
1884,833210
1885,792522
1886,862629
1887,490576
1888,974369
1889,264271
1890,176621
1891,608232
1892,958991
1893,104000
1894,286262
1895,427471
1896,805669
1897,336754
1898,294775
1899,147577
1900,634635
1901,102309
1902,497178
1903,668990
1904,405721
1905,703941
1906,363432
1907,648084
1908,129193
1909,295424
1910,981050
1911,438080
1912,753289
1913,985232
1914,477875
1915,743546
1916,977031
1917,813266
1918,973836
1919,481626
1920,726330
1921,727142
1922,941902
1923,446324
1924,267389
1925,192371
1926,237725
1927,631659
1928,174025
1929,236305
1930,262115
1931,659430
1932,401543
1933,524030
1934,847943
1935,529482
1936,244678
1937,218459
1938,718950
1939,226106
1940,472550
1941,964092
1942,801111
1943,229493
1944,180769
1945,987899
1946,482040
1947,428124
1948,431367
1949,894930
1950,355198
1951,840466
1952,330891
1953,723299
1954,835927
1955,321261
1956,381393
1957,757608
1958,717132
1959,253783
1960,401871
1961,677358
1962,280225
1963,486101
1964,562345
1965,758963
1966,765772
1967,843269
1968,801750
1969,355055
1970,502723
1971,612809
1972,665201
1973,270701
1974,348236
1975,271325
1976,547416
1977,449499
1978,671590
1979,809095
1980,235193
1981,551388
1982,625939
1983,262696
1984,913263
1985,744845
1986,870758
1987,917183
1988,997495
1989,818025
1990,294879
1991,362081
1992,792782
1993,526576
1994,344855
1995,682006
1996,962496
1997,808666
1998,838500
1999,842070
2000,919711
2001,752903
2002,363096
2003,873560
2004,191104
2005,573603
2006,919030
2007,707649
2008,754244
2009,933008
2010,599502
2011,108651
2012,233752
2013,294196
2014,564920
2015,188179
2016,230674
2017,639609
2018,874532
2019,959871
2020,236326
2021,857262
2022,827666
2023,166276
2024,413493
2025,122394
2026,810700
2027,785576
2028,708894
2029,128182
2030,881097
2031,917198
2032,106683
2033,770894
2034,999359
2035,198181
2036,631473
2037,889016
2038,303031
2039,377542
2040,951489
2041,686879
2042,801049
2043,173960
2044,488330
2045,237875
2046,593377
2047,130913
2048,125769
2049,947936
2050,877888
2051,163808
2052,631628
2053,175071
2054,836122
2055,118326
2056,394507
2057,386841
2058,923423
2059,987709
2060,830445
2061,346459
2062,974850
2063,766613
2064,852166
2065,299070
2066,538968
2067,906899
2068,142191
2069,115095
2070,285481
2071,521069
2072,302050
2073,418004
2074,652006
2075,711676
2076,674505
2077,397466
2078,390534
2079,537005
2080,386449
2081,498793
2082,469770
2083,516858
2084,442421
2085,957688
2086,848578
2087,860584
2088,510384
2089,869562
2090,495308
2091,835948
2092,670807
2093,794160
2094,172922
2095,569262
2096,104983
2097,116673
2098,112835
2099,536086
2100,953231
2101,935824
2102,502653
2103,974946
2104,845407
2105,486688
2106,799469
2107,600792
2108,300917
2109,543291
2110,222035
2111,689698
2112,180650
2113,750695
2114,180069
2115,986288
2116,679539
2117,748468
2118,915280
2119,746315
2120,212369
2121,635254
2122,578379
2123,252882
2124,246875
2125,594033
2126,857324
2127,857308
2128,736544
2129,766827
2130,772766
2131,282250
2132,139690
2133,762840
2134,125666
2135,195452
2136,967007
2137,138260
2138,416035
2139,539203
2140,776628
2141,231043
2142,230729
2143,618948
2144,854516
2145,230332
2146,727895
2147,935630
2148,808827
2149,815710
2150,794978
2151,550131
2152,708613
2153,267843
2154,393750
2155,606000
2156,341300
2157,506916
2158,906392
2159,361708
2160,438297
2161,678066
2162,812937
2163,263067
2164,586609
2165,951929
2166,105345
2167,794905
2168,684769
2169,409704
2170,387460
2171,342173
2172,821943
2173,531691
2174,428852
2175,158476
2176,951520
2177,831677
2178,248485
2179,845512
2180,812319
2181,171734
2182,348008
2183,104881
2184,699662
2185,918865
2186,104844
2187,927632
2188,742874
2189,232622
2190,832054
2191,861218
2192,937125
2193,548763
2194,791156
2195,587168
2196,446535
2197,351074
2198,275660
2199,553661
2200,617930
2201,841171
2202,253394
2203,479910
2204,661611
2205,583600
2206,703167
2207,512645
2208,182524
2209,808971
2210,463365
2211,707080
2212,381976
2213,357730
2214,716209
2215,239346
2216,781343
2217,879903
2218,519214
2219,456437
2220,494458
2221,898210
2222,641058
2223,405267
2224,189601
2225,646400
2226,729115
2227,369648
2228,526520
2229,503334
2230,649305
2231,357293
2232,999514
2233,307029
2234,228627
2235,946882
2236,437675
2237,814839
2238,856705
2239,747727
2240,424702
2241,451044
2242,218600
2243,602799
2244,250654
2245,967564
2246,896886
2247,986862
2248,436351
2249,620879
2250,682078
2251,191464
2252,381120
2253,410476
2254,546273
2255,594827
2256,573912
2257,139956
2258,200310
2259,695311
2260,359767
2261,346275
2262,175548
2263,745147
2264,495066
2265,831660
2266,511964
2267,217516
2268,707736
2269,159409
2270,871958
2271,430534
2272,720776
2273,245039
2274,954156
2275,677449
2276,899667
2277,295062
2278,645395
2279,506305
2280,163248
2281,176510
2282,288959
2283,338393
2284,549679
2285,503061
2286,293704
2287,471409
2288,423872
2289,689854
2290,574505
2291,216610
2292,602920
2293,558984
2294,316493
2295,109589
2296,124621
2297,871731
2298,746595
2299,634347
2300,125334
2301,341729
2302,721106
2303,846516
2304,750042
2305,780731
2306,169754
2307,400752
2308,331884
2309,144867
2310,815954
2311,851350
2312,398738
2313,437663
2314,601645
2315,192394
2316,223731
2317,950204
2318,321084
2319,110240
2320,646844
2321,246286
2322,219477
2323,997455
2324,385492
2325,661842
2326,782685
2327,396794
2328,458717
2329,719166
2330,650380
2331,950888
2332,520987
2333,550708
2334,275481
2335,226681
2336,189174
2337,388959
2338,340020
2339,789448
2340,678216
2341,109920
2342,722873
2343,617670
2344,131874
2345,241370
2346,449602
2347,478999
2348,150409
2349,915255
2350,510693
2351,143818
2352,779686
2353,722997
2354,705313
2355,482645
2356,120229
2357,811095
2358,438018
2359,768822
2360,772362
2361,314865
2362,934948
2363,610740
2364,344770
2365,931502
2366,872744
2367,214586
2368,337127
2369,337204
2370,253060
2371,610375
2372,787788
2373,455863
2374,247631
2375,593301
2376,488886
2377,295000
2378,908937
2379,468187
2380,379881
2381,788402
2382,118596
2383,517493
2384,186420
2385,908267
2386,963871
2387,718252
2388,658095
2389,966848
2390,711857
2391,669609
2392,863245
2393,146468
2394,567227
2395,795810
2396,838576
2397,388986
2398,544168
2399,802530
2400,165046
2401,104976
2402,417171
2403,975058
2404,807765
2405,251583
2406,210615
2407,651325
2408,319741
2409,722377
2410,248441
2411,248570
2412,272118
2413,145345
2414,352149
2415,217396
2416,429113
2417,763815
2418,257132
2419,191982
2420,302095
2421,355164
2422,175085
2423,161872
2424,533629
2425,858406
2426,285025
2427,895592
2428,206619
2429,435949
2430,461449
2431,905662
2432,635039
2433,820600
2434,104283
2435,344567
2436,390647
2437,687412
2438,702179
2439,267362
2440,993587
2441,964628
2442,490241
2443,851104
2444,750803
2445,325394
2446,380184
2447,427478
2448,652871
2449,363169
2450,510053
2451,597401
2452,446085
2453,833892
2454,411540
2455,518607
2456,936683
2457,922803
2458,739051
2459,593852
2460,342807
2461,231517
2462,288380
2463,743172
2464,689102
2465,934296
2466,712242
2467,835068
2468,502795
2469,823681
2470,931855
2471,288831
2472,367379
2473,248688
2474,412421
2475,397884
2476,958340
2477,230201
2478,948395
2479,622812
2480,671040
2481,769552
2482,480253
2483,584882
2484,665143
2485,544248
2486,390443
2487,190066
2488,712059
2489,208346
2490,900310
2491,346225
2492,883331
2493,939552
2494,877896
2495,546349
2496,494431
2497,805034
